# fAfC ['AGYR32', 'ADIA32', 'ACYL']
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.410431476808368600e+01
1.199999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.033903019422622194e+01
1.400000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.298108283630868343e+01
1.600000000000000033e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.401999575349011096e+01
1.799999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.419665933794523482e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.383460471410553794e+01
2.200000000000000011e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.310928254018354622e+01
2.399999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.212395588018661030e+01
2.600000000000000089e-01 nan 0.000000000000000000e+00 2.094098013612511977e+01
2.800000000000000266e-01 nan 0.000000000000000000e+00 1.958809252276820345e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.805174931264498639e+01
